code,description
X025,"Exposure to controlled fire in building or structure, trade and service area"
X0250,"Exposure to controlled fire in building or structure, trade and service area, while engaged in sports activity"
X0251,"Exposure to controlled fire in building or structure, trade and service area, while engaged in leisure activity"
X0252,"Exposure to controlled fire in building or structure, trade and service area, while working for income"
X0253,"Exposure to controlled fire in building or structure, trade and service area, while engaged in other types of work"
X0254,"Exposure to controlled fire in building or structure, trade and service area, while resting, sleeping, eating or engaging in other vital activities"
X0258,"Exposure to controlled fire in building or structure, trade and service area, while engaged in other specified activities"
X0259,"Exposure to controlled fire in building or structure, trade and service area, during unspecified activity"
X026,"Exposure to controlled fire in building or structure, industrial and construction area"
X0260,"Exposure to controlled fire in building or structure, industrial and construction area, while engaged in sports activity"
X0261,"Exposure to controlled fire in building or structure, industrial and construction area, while engaged in leisure activity"
X0262,"Exposure to controlled fire in building or structure, industrial and construction area, while working for income"
X0263,"Exposure to controlled fire in building or structure, industrial and construction area, while engaged in other types of work"
X0264,"Exposure to controlled fire in building or structure, industrial and construction area, while resting, sleeping, eating or engaging in other vital activities"
X0268,"Exposure to controlled fire in building or structure, industrial and construction area, while engaged in other specified activities"
X0269,"Exposure to controlled fire in building or structure, industrial and construction area, during unspecified activity"
X027,"Exposure to controlled fire in building or structure, farm"
X0270,"Exposure to controlled fire in building or structure, farm, while engaged in sports activity"
X0271,"Exposure to controlled fire in building or structure, farm, while engaged in leisure activity"
X0272,"Exposure to controlled fire in building or structure, farm, while working for income"
X0273,"Exposure to controlled fire in building or structure, farm, while engaged in other types of work"
X0274,"Exposure to controlled fire in building or structure, farm, while resting, sleeping, eating or engaging in other vital activities"
X0278,"Exposure to controlled fire in building or structure, farm, while engaged in other specified activities"
X0279,"Exposure to controlled fire in building or structure, farm, during unspecified activity"
X028,"Exposure to controlled fire in building or structure, other specified places"
X0280,"Exposure to controlled fire in building or structure, other specified places, while engaged in sports activity"
X0281,"Exposure to controlled fire in building or structure, other specified places, while engaged in leisure activity"
X0282,"Exposure to controlled fire in building or structure, other specified places, while working for income"
X0283,"Exposure to controlled fire in building or structure, other specified places, while engaged in other types of work"
X0284,"Exposure to controlled fire in building or structure, other specified places, while resting, sleeping, eating or engaging in other vital activities"
X0288,"Exposure to controlled fire in building or structure, other specified places, while engaged in other specified activities"
X0289,"Exposure to controlled fire in building or structure, other specified places, during unspecified activity"
X029,"Exposure to controlled fire in building or structure, unspecified place"
X0290,"Exposure to controlled fire in building or structure, unspecified place, while engaged in sports activity"
X0291,"Exposure to controlled fire in building or structure, unspecified place, while engaged in leisure activity"
X0292,"Exposure to controlled fire in building or structure, unspecified place, while working for income"
X0293,"Exposure to controlled fire in building or structure, unspecified place, while engaged in other types of work"
X0294,"Exposure to controlled fire in building or structure, unspecified place, while resting, sleeping, eating or engaging in other vital activities"
X0298,"Exposure to controlled fire in building or structure, unspecified place, while engaged in other specified activities"
X0299,"Exposure to controlled fire in building or structure, unspecified place, during unspecified activity"
X03,"Exposure to controlled fire, not in building or structure"
X030,"Exposure to controlled fire, not in building or structure, home"
X0300,"Exposure to controlled fire, not in building or structure, home, while engaged in sports activity"
X0301,"Exposure to controlled fire, not in building or structure, home, while engaged in leisure activity"
X0302,"Exposure to controlled fire, not in building or structure, home, while working for income"
X0303,"Exposure to controlled fire, not in building or structure, home, while engaged in other types of work"
X0304,"Exposure to controlled fire, not in building or structure, home, while resting, sleeping, eating or engaging in other vital activities"
X0308,"Exposure to controlled fire, not in building or structure, home, while engaged in other specified activities"
X0309,"Exposure to controlled fire, not in building or structure, home, during unspecified activity"
X031,"Exposure to controlled fire, not in building or structure, residential institution"
X0310,"Exposure to controlled fire, not in building or structure, residential institution, while engaged in sports activity"
X0311,"Exposure to controlled fire, not in building or structure, residential institution, while engaged in leisure activity"
X0312,"Exposure to controlled fire, not in building or structure, residential institution, while working for income"
X0313,"Exposure to controlled fire, not in building or structure, residential institution, while engaged in other types of work"
X0314,"Exposure to controlled fire, not in building or structure, residential institution, while resting, sleeping, eating or engaging in other vital activities"
X0318,"Exposure to controlled fire, not in building or structure, residential institution, while engaged in other specified activities"
X0319,"Exposure to controlled fire, not in building or structure, residential institution, during unspecified activity"
X032,"Exposure to controlled fire, not in building or structure, school, other institution and public administrative area"
X0320,"Exposure to controlled fire, not in building or structure, school, other institution and public administrative area, while engaged in sports activity"
X0321,"Exposure to controlled fire, not in building or structure, school, other institution and public administrative area, while engaged in leisure activity"
X0322,"Exposure to controlled fire, not in building or structure, school, other institution and public administrative area, while working for income"
X0323,"Exposure to controlled fire, not in building or structure, school, other institution and public administrative area, while engaged in other types of work"
X0324,"Exposure to controlled fire, not in building or structure, school, other institution and public administrative area, while resting, sleeping, eating or engaging in other vital activities"
X0328,"Exposure to controlled fire, not in building or structure, school, other institution and public administrative area, while engaged in other specified activities"
X0329,"Exposure to controlled fire, not in building or structure, school, other institution and public administrative area, during unspecified activity"
X033,"Exposure to controlled fire, not in building or structure, sports and athletics area"
X0330,"Exposure to controlled fire, not in building or structure, sports and athletics area, while engaged in sports activity"
X0331,"Exposure to controlled fire, not in building or structure, sports and athletics area, while engaged in leisure activity"
X0332,"Exposure to controlled fire, not in building or structure, sports and athletics area, while working for income"
X0333,"Exposure to controlled fire, not in building or structure, sports and athletics area, while engaged in other types of work"
X0334,"Exposure to controlled fire, not in building or structure, sports and athletics area, while resting, sleeping, eating or engaging in other vital activities"
X0338,"Exposure to controlled fire, not in building or structure, sports and athletics area, while engaged in other specified activities"
X0339,"Exposure to controlled fire, not in building or structure, sports and athletics area, during unspecified activity"
X034,"Exposure to controlled fire, not in building or structure, street and highway"
X0340,"Exposure to controlled fire, not in building or structure, street and highway, while engaged in sports activity"
X0341,"Exposure to controlled fire, not in building or structure, street and highway, while engaged in leisure activity"
X0342,"Exposure to controlled fire, not in building or structure, street and highway, while working for income"
X0343,"Exposure to controlled fire, not in building or structure, street and highway, while engaged in other types of work"
X0344,"Exposure to controlled fire, not in building or structure, street and highway, while resting, sleeping, eating or engaging in other vital activities"
X0348,"Exposure to controlled fire, not in building or structure, street and highway, while engaged in other specified activities"
X0349,"Exposure to controlled fire, not in building or structure, street and highway, during unspecified activity"
X035,"Exposure to controlled fire, not in building or structure, trade and service area"
X0350,"Exposure to controlled fire, not in building or structure, trade and service area, while engaged in sports activity"
X0351,"Exposure to controlled fire, not in building or structure, trade and service area, while engaged in leisure activity"
X0352,"Exposure to controlled fire, not in building or structure, trade and service area, while working for income"
X0353,"Exposure to controlled fire, not in building or structure, trade and service area, while engaged in other types of work"
X0354,"Exposure to controlled fire, not in building or structure, trade and service area, while resting, sleeping, eating or engaging in other vital activities"
X0358,"Exposure to controlled fire, not in building or structure, trade and service area, while engaged in other specified activities"
X0359,"Exposure to controlled fire, not in building or structure, trade and service area, during unspecified activity"
X036,"Exposure to controlled fire, not in building or structure, industrial and construction area"
X0360,"Exposure to controlled fire, not in building or structure, industrial and construction area, while engaged in sports activity"
X0361,"Exposure to controlled fire, not in building or structure, industrial and construction area, while engaged in leisure activity"
X0362,"Exposure to controlled fire, not in building or structure, industrial and construction area, while working for income"
X0363,"Exposure to controlled fire, not in building or structure, industrial and construction area, while engaged in other types of work"
X0364,"Exposure to controlled fire, not in building or structure, industrial and construction area, while resting, sleeping, eating or engaging in other vital activities"
X0368,"Exposure to controlled fire, not in building or structure, industrial and construction area, while engaged in other specified activities"
X0369,"Exposure to controlled fire, not in building or structure, industrial and construction area, during unspecified activity"
X037,"Exposure to controlled fire, not in building or structure, farm"
X0370,"Exposure to controlled fire, not in building or structure, farm, while engaged in sports activity"
X0371,"Exposure to controlled fire, not in building or structure, farm, while engaged in leisure activity"
X0372,"Exposure to controlled fire, not in building or structure, farm, while working for income"
X0373,"Exposure to controlled fire, not in building or structure, farm, while engaged in other types of work"
X0374,"Exposure to controlled fire, not in building or structure, farm, while resting, sleeping, eating or engaging in other vital activities"
X0378,"Exposure to controlled fire, not in building or structure, farm, while engaged in other specified activities"
X0379,"Exposure to controlled fire, not in building or structure, farm, during unspecified activity"
X038,"Exposure to controlled fire, not in building or structure, other specified places"
X0380,"Exposure to controlled fire, not in building or structure, other specified places, while engaged in sports activity"
X0381,"Exposure to controlled fire, not in building or structure, other specified places, while engaged in leisure activity"
X0382,"Exposure to controlled fire, not in building or structure, other specified places, while working for income"
X0383,"Exposure to controlled fire, not in building or structure, other specified places, while engaged in other types of work"
X0384,"Exposure to controlled fire, not in building or structure, other specified places, while resting, sleeping, eating or engaging in other vital activities"
X0388,"Exposure to controlled fire, not in building or structure, other specified places, while engaged in other specified activities"
X0389,"Exposure to controlled fire, not in building or structure, other specified places, during unspecified activity"
X039,"Exposure to controlled fire, not in building or structure, unspecified place"
X0390,"Exposure to controlled fire, not in building or structure, unspecified place, while engaged in sports activity"
X0391,"Exposure to controlled fire, not in building or structure, unspecified place, while engaged in leisure activity"
X0392,"Exposure to controlled fire, not in building or structure, unspecified place, while working for income"
X0393,"Exposure to controlled fire, not in building or structure, unspecified place, while engaged in other types of work"
X0394,"Exposure to controlled fire, not in building or structure, unspecified place, while resting, sleeping, eating or engaging in other vital activities"
X0398,"Exposure to controlled fire, not in building or structure, unspecified place, while engaged in other specified activities"
X0399,"Exposure to controlled fire, not in building or structure, unspecified place, during unspecified activity"
X04,Exposure to ignition of highly flammable material
X040,"Exposure to ignition of highly flammable material, home"
X0400,"Exposure to ignition of highly flammable material, home, while engaged in sports activity"
X0401,"Exposure to ignition of highly flammable material, home, while engaged in leisure activity"
X0402,"Exposure to ignition of highly flammable material, home, while working for income"
X0403,"Exposure to ignition of highly flammable material, home, while engaged in other types of work"
X0404,"Exposure to ignition of highly flammable material, home, while resting, sleeping, eating or engaging in other vital activities"
X0408,"Exposure to ignition of highly flammable material, home, while engaged in other specified activities"
X0409,"Exposure to ignition of highly flammable material, home, during unspecified activity"
X041,"Exposure to ignition of highly flammable material, residential institution"
X0410,"Exposure to ignition of highly flammable material, residential institution, while engaged in sports activity"
X0411,"Exposure to ignition of highly flammable material, residential institution, while engaged in leisure activity"
X0412,"Exposure to ignition of highly flammable material, residential institution, while working for income"
X0413,"Exposure to ignition of highly flammable material, residential institution, while engaged in other types of work"
X0414,"Exposure to ignition of highly flammable material, residential institution, while resting, sleeping, eating or engaging in other vital activities"
X0418,"Exposure to ignition of highly flammable material, residential institution, while engaged in other specified activities"
X0419,"Exposure to ignition of highly flammable material, residential institution, during unspecified activity"
X042,"Exposure to ignition of highly flammable material, school, other institution and public administrative area"
X0420,"Exposure to ignition of highly flammable material, school, other institution and public administrative area, while engaged in sports activity"
X0421,"Exposure to ignition of highly flammable material, school, other institution and public administrative area, while engaged in leisure activity"
X0422,"Exposure to ignition of highly flammable material, school, other institution and public administrative area, while working for income"
X0423,"Exposure to ignition of highly flammable material, school, other institution and public administrative area, while engaged in other types of work"
X0424,"Exposure to ignition of highly flammable material, school, other institution and public administrative area, while resting, sleeping, eating or engaging in other vital activities"
X0428,"Exposure to ignition of highly flammable material, school, other institution and public administrative area, while engaged in other specified activities"
X0429,"Exposure to ignition of highly flammable material, school, other institution and public administrative area, during unspecified activity"
X043,"Exposure to ignition of highly flammable material, sports and athletics area"
X0430,"Exposure to ignition of highly flammable material, sports and athletics area, while engaged in sports activity"
X0431,"Exposure to ignition of highly flammable material, sports and athletics area, while engaged in leisure activity"
X0432,"Exposure to ignition of highly flammable material, sports and athletics area, while working for income"
X0433,"Exposure to ignition of highly flammable material, sports and athletics area, while engaged in other types of work"
X0434,"Exposure to ignition of highly flammable material, sports and athletics area, while resting, sleeping, eating or engaging in other vital activities"
X0438,"Exposure to ignition of highly flammable material, sports and athletics area, while engaged in other specified activities"
X0439,"Exposure to ignition of highly flammable material, sports and athletics area, during unspecified activity"
X044,"Exposure to ignition of highly flammable material, street and highway"
X0440,"Exposure to ignition of highly flammable material, street and highway, while engaged in sports activity"
X0441,"Exposure to ignition of highly flammable material, street and highway, while engaged in leisure activity"
X0442,"Exposure to ignition of highly flammable material, street and highway, while working for income"
X0443,"Exposure to ignition of highly flammable material, street and highway, while engaged in other types of work"
X0444,"Exposure to ignition of highly flammable material, street and highway, while resting, sleeping, eating or engaging in other vital activities"
X0448,"Exposure to ignition of highly flammable material, street and highway, while engaged in other specified activities"
X0449,"Exposure to ignition of highly flammable material, street and highway, during unspecified activity"
X045,"Exposure to ignition of highly flammable material, trade and service area"
X0450,"Exposure to ignition of highly flammable material, trade and service area, while engaged in sports activity"
X0451,"Exposure to ignition of highly flammable material, trade and service area, while engaged in leisure activity"
X0452,"Exposure to ignition of highly flammable material, trade and service area, while working for income"
X0453,"Exposure to ignition of highly flammable material, trade and service area, while engaged in other types of work"
X0454,"Exposure to ignition of highly flammable material, trade and service area, while resting, sleeping, eating or engaging in other vital activities"
X0458,"Exposure to ignition of highly flammable material, trade and service area, while engaged in other specified activities"
X0459,"Exposure to ignition of highly flammable material, trade and service area, during unspecified activity"
X046,"Exposure to ignition of highly flammable material, industrial and construction area"
X0460,"Exposure to ignition of highly flammable material, industrial and construction area, while engaged in sports activity"
X0461,"Exposure to ignition of highly flammable material, industrial and construction area, while engaged in leisure activity"
X0462,"Exposure to ignition of highly flammable material, industrial and construction area, while working for income"
X0463,"Exposure to ignition of highly flammable material, industrial and construction area, while engaged in other types of work"
X0464,"Exposure to ignition of highly flammable material, industrial and construction area, while resting, sleeping, eating or engaging in other vital activities"
X0468,"Exposure to ignition of highly flammable material, industrial and construction area, while engaged in other specified activities"
X0469,"Exposure to ignition of highly flammable material, industrial and construction area, during unspecified activity"
X047,"Exposure to ignition of highly flammable material, farm"
X0470,"Exposure to ignition of highly flammable material, farm, while engaged in sports activity"
X0471,"Exposure to ignition of highly flammable material, farm, while engaged in leisure activity"
X0472,"Exposure to ignition of highly flammable material, farm, while working for income"
X0473,"Exposure to ignition of highly flammable material, farm, while engaged in other types of work"
X0474,"Exposure to ignition of highly flammable material, farm, while resting, sleeping, eating or engaging in other vital activities"
X0478,"Exposure to ignition of highly flammable material, farm, while engaged in other specified activities"
X0479,"Exposure to ignition of highly flammable material, farm, during unspecified activity"
X048,"Exposure to ignition of highly flammable material, other specified places"
X0480,"Exposure to ignition of highly flammable material, other specified places, while engaged in sports activity"
X0481,"Exposure to ignition of highly flammable material, other specified places, while engaged in leisure activity"
X0482,"Exposure to ignition of highly flammable material, other specified places, while working for income"
X0483,"Exposure to ignition of highly flammable material, other specified places, while engaged in other types of work"
X0484,"Exposure to ignition of highly flammable material, other specified places, while resting, sleeping, eating or engaging in other vital activities"
X0488,"Exposure to ignition of highly flammable material, other specified places, while engaged in other specified activities"
X0489,"Exposure to ignition of highly flammable material, other specified places, during unspecified activity"
X049,"Exposure to ignition of highly flammable material, unspecified place"
X0490,"Exposure to ignition of highly flammable material, unspecified place, while engaged in sports activity"
X0491,"Exposure to ignition of highly flammable material, unspecified place, while engaged in leisure activity"
X0492,"Exposure to ignition of highly flammable material, unspecified place, while working for income"
X0493,"Exposure to ignition of highly flammable material, unspecified place, while engaged in other types of work"
X0494,"Exposure to ignition of highly flammable material, unspecified place, while resting, sleeping, eating or engaging in other vital activities"
X0498,"Exposure to ignition of highly flammable material, unspecified place, while engaged in other specified activities"
X0499,"Exposure to ignition of highly flammable material, unspecified place, during unspecified activity"
X05,Exposure to ignition or melting of nightwear
X050,"Exposure to ignition or melting of nightwear, home"
X0500,"Exposure to ignition or melting of nightwear, home, while engaged in sports activity"
X0501,"Exposure to ignition or melting of nightwear, home, while engaged in leisure activity"
X0502,"Exposure to ignition or melting of nightwear, home, while working for income"
X0503,"Exposure to ignition or melting of nightwear, home, while engaged in other types of work"
X0504,"Exposure to ignition or melting of nightwear, home, while resting, sleeping, eating or engaging in other vital activities"
X0508,"Exposure to ignition or melting of nightwear, home, while engaged in other specified activities"
X0509,"Exposure to ignition or melting of nightwear, home, during unspecified activity"
X051,"Exposure to ignition or melting of nightwear, residential institution"
X0510,"Exposure to ignition or melting of nightwear, residential institution, while engaged in sports activity"
X0511,"Exposure to ignition or melting of nightwear, residential institution, while engaged in leisure activity"
X0512,"Exposure to ignition or melting of nightwear, residential institution, while working for income"
X0513,"Exposure to ignition or melting of nightwear, residential institution, while engaged in other types of work"
X0514,"Exposure to ignition or melting of nightwear, residential institution, while resting, sleeping, eating or engaging in other vital activities"
X0518,"Exposure to ignition or melting of nightwear, residential institution, while engaged in other specified activities"
X0519,"Exposure to ignition or melting of nightwear, residential institution, during unspecified activity"
X052,"Exposure to ignition or melting of nightwear, school, other institution and public administrative area"
X0520,"Exposure to ignition or melting of nightwear, school, other institution and public administrative area, while engaged in sports activity"
X0521,"Exposure to ignition or melting of nightwear, school, other institution and public administrative area, while engaged in leisure activity"
X0522,"Exposure to ignition or melting of nightwear, school, other institution and public administrative area, while working for income"
X0523,"Exposure to ignition or melting of nightwear, school, other institution and public administrative area, while engaged in other types of work"
X0524,"Exposure to ignition or melting of nightwear, school, other institution and public administrative area, while resting, sleeping, eating or engaging in other vital activities"
X0528,"Exposure to ignition or melting of nightwear, school, other institution and public administrative area, while engaged in other specified activities"
X0529,"Exposure to ignition or melting of nightwear, school, other institution and public administrative area, during unspecified activity"
X053,"Exposure to ignition or melting of nightwear, sports and athletics area"
X0530,"Exposure to ignition or melting of nightwear, sports and athletics area, while engaged in sports activity"
X0531,"Exposure to ignition or melting of nightwear, sports and athletics area, while engaged in leisure activity"
X0532,"Exposure to ignition or melting of nightwear, sports and athletics area, while working for income"
X0533,"Exposure to ignition or melting of nightwear, sports and athletics area, while engaged in other types of work"
X0534,"Exposure to ignition or melting of nightwear, sports and athletics area, while resting, sleeping, eating or engaging in other vital activities"
X0538,"Exposure to ignition or melting of nightwear, sports and athletics area, while engaged in other specified activities"
X0539,"Exposure to ignition or melting of nightwear, sports and athletics area, during unspecified activity"
X054,"Exposure to ignition or melting of nightwear, street and highway"
X0540,"Exposure to ignition or melting of nightwear, street and highway, while engaged in sports activity"
X0541,"Exposure to ignition or melting of nightwear, street and highway, while engaged in leisure activity"
X0542,"Exposure to ignition or melting of nightwear, street and highway, while working for income"
X0543,"Exposure to ignition or melting of nightwear, street and highway, while engaged in other types of work"
X0544,"Exposure to ignition or melting of nightwear, street and highway, while resting, sleeping, eating or engaging in other vital activities"
X0548,"Exposure to ignition or melting of nightwear, street and highway, while engaged in other specified activities"
X0549,"Exposure to ignition or melting of nightwear, street and highway, during unspecified activity"
X055,"Exposure to ignition or melting of nightwear, trade and service area"
X0550,"Exposure to ignition or melting of nightwear, trade and service area, while engaged in sports activity"
X0551,"Exposure to ignition or melting of nightwear, trade and service area, while engaged in leisure activity"
X0552,"Exposure to ignition or melting of nightwear, trade and service area, while working for income"
X0553,"Exposure to ignition or melting of nightwear, trade and service area, while engaged in other types of work"
X0554,"Exposure to ignition or melting of nightwear, trade and service area, while resting, sleeping, eating or engaging in other vital activities"
X0558,"Exposure to ignition or melting of nightwear, trade and service area, while engaged in other specified activities"
X0559,"Exposure to ignition or melting of nightwear, trade and service area, during unspecified activity"
X056,"Exposure to ignition or melting of nightwear, industrial and construction area"
X0560,"Exposure to ignition or melting of nightwear, industrial and construction area, while engaged in sports activity"
X0561,"Exposure to ignition or melting of nightwear, industrial and construction area, while engaged in leisure activity"
X0562,"Exposure to ignition or melting of nightwear, industrial and construction area, while working for income"
X0563,"Exposure to ignition or melting of nightwear, industrial and construction area, while engaged in other types of work"
X0564,"Exposure to ignition or melting of nightwear, industrial and construction area, while resting, sleeping, eating or engaging in other vital activities"
X0568,"Exposure to ignition or melting of nightwear, industrial and construction area, while engaged in other specified activities"
X0569,"Exposure to ignition or melting of nightwear, industrial and construction area, during unspecified activity"
X057,"Exposure to ignition or melting of nightwear, farm"
X0570,"Exposure to ignition or melting of nightwear, farm, while engaged in sports activity"
X0571,"Exposure to ignition or melting of nightwear, farm, while engaged in leisure activity"
X0572,"Exposure to ignition or melting of nightwear, farm, while working for income"
X0573,"Exposure to ignition or melting of nightwear, farm, while engaged in other types of work"
X0574,"Exposure to ignition or melting of nightwear, farm, while resting, sleeping, eating or engaging in other vital activities"
X0578,"Exposure to ignition or melting of nightwear, farm, while engaged in other specified activities"
X0579,"Exposure to ignition or melting of nightwear, farm, during unspecified activity"
X058,"Exposure to ignition or melting of nightwear, other specified places"
X0580,"Exposure to ignition or melting of nightwear, other specified places, while engaged in sports activity"
X0581,"Exposure to ignition or melting of nightwear, other specified places, while engaged in leisure activity"
X0582,"Exposure to ignition or melting of nightwear, other specified places, while working for income"
X0583,"Exposure to ignition or melting of nightwear, other specified places, while engaged in other types of work"
X0584,"Exposure to ignition or melting of nightwear, other specified places, while resting, sleeping, eating or engaging in other vital activities"
X0588,"Exposure to ignition or melting of nightwear, other specified places, while engaged in other specified activities"
X0589,"Exposure to ignition or melting of nightwear, other specified places, during unspecified activity"
X059,"Exposure to ignition or melting of nightwear, unspecified place"
X0590,"Exposure to ignition or melting of nightwear, unspecified place, while engaged in sports activity"
X0591,"Exposure to ignition or melting of nightwear, unspecified place, while engaged in leisure activity"
X0592,"Exposure to ignition or melting of nightwear, unspecified place, while working for income"
X0593,"Exposure to ignition or melting of nightwear, unspecified place, while engaged in other types of work"
X0594,"Exposure to ignition or melting of nightwear, unspecified place, while resting, sleeping, eating or engaging in other vital activities"
X0598,"Exposure to ignition or melting of nightwear, unspecified place, while engaged in other specified activities"
X0599,"Exposure to ignition or melting of nightwear, unspecified place, during unspecified activity"
X06,Exposure to ignition or melting of other clothing and apparel
X060,"Exposure to ignition or melting of other clothing and apparel, home"
X0600,"Exposure to ignition or melting of other clothing and apparel, home, while engaged in sports activity"
X0601,"Exposure to ignition or melting of other clothing and apparel, home, while engaged in leisure activity"
X0602,"Exposure to ignition or melting of other clothing and apparel, home, while working for income"
X0603,"Exposure to ignition or melting of other clothing and apparel, home, while engaged in other types of work"
X0604,"Exposure to ignition or melting of other clothing and apparel, home, while resting, sleeping, eating or engaging in other vital activities"
X0608,"Exposure to ignition or melting of other clothing and apparel, home, while engaged in other specified activities"
X0609,"Exposure to ignition or melting of other clothing and apparel, home, during unspecified activity"
X061,"Exposure to ignition or melting of other clothing and apparel, residential institution"
X0610,"Exposure to ignition or melting of other clothing and apparel, residential institution, while engaged in sports activity"
X0611,"Exposure to ignition or melting of other clothing and apparel, residential institution, while engaged in leisure activity"
X0612,"Exposure to ignition or melting of other clothing and apparel, residential institution, while working for income"
X0613,"Exposure to ignition or melting of other clothing and apparel, residential institution, while engaged in other types of work"
X0614,"Exposure to ignition or melting of other clothing and apparel, residential institution, while resting, sleeping, eating or engaging in other vital activities"
X0618,"Exposure to ignition or melting of other clothing and apparel, residential institution, while engaged in other specified activities"
X0619,"Exposure to ignition or melting of other clothing and apparel, residential institution, during unspecified activity"
X062,"Exposure to ignition or melting of other clothing and apparel, school, other institution and public administrative area"
X0620,"Exposure to ignition or melting of other clothing and apparel, school, other institution and public administrative area, while engaged in sports activity"
X0621,"Exposure to ignition or melting of other clothing and apparel, school, other institution and public administrative area, while engaged in leisure activity"
X0622,"Exposure to ignition or melting of other clothing and apparel, school, other institution and public administrative area, while working for income"
X0623,"Exposure to ignition or melting of other clothing and apparel, school, other institution and public administrative area, while engaged in other types of work"
X0624,"Exposure to ignition or melting of other clothing and apparel, school, other institution and public administrative area, while resting, sleeping, eating or engaging in other vital activities"
X0628,"Exposure to ignition or melting of other clothing and apparel, school, other institution and public administrative area, while engaged in other specified activities"
X0629,"Exposure to ignition or melting of other clothing and apparel, school, other institution and public administrative area, during unspecified activity"
X063,"Exposure to ignition or melting of other clothing and apparel, sports and athletics area"
X0630,"Exposure to ignition or melting of other clothing and apparel, sports and athletics area, while engaged in sports activity"
X0631,"Exposure to ignition or melting of other clothing and apparel, sports and athletics area, while engaged in leisure activity"
X0632,"Exposure to ignition or melting of other clothing and apparel, sports and athletics area, while working for income"
X0633,"Exposure to ignition or melting of other clothing and apparel, sports and athletics area, while engaged in other types of work"
X0634,"Exposure to ignition or melting of other clothing and apparel, sports and athletics area, while resting, sleeping, eating or engaging in other vital activities"
X0638,"Exposure to ignition or melting of other clothing and apparel, sports and athletics area, while engaged in other specified activities"
X0639,"Exposure to ignition or melting of other clothing and apparel, sports and athletics area, during unspecified activity"
X064,"Exposure to ignition or melting of other clothing and apparel, street and highway"
X0640,"Exposure to ignition or melting of other clothing and apparel, street and highway, while engaged in sports activity"
X0641,"Exposure to ignition or melting of other clothing and apparel, street and highway, while engaged in leisure activity"
X0642,"Exposure to ignition or melting of other clothing and apparel, street and highway, while working for income"
X0643,"Exposure to ignition or melting of other clothing and apparel, street and highway, while engaged in other types of work"
X0644,"Exposure to ignition or melting of other clothing and apparel, street and highway, while resting, sleeping, eating or engaging in other vital activities"
X0648,"Exposure to ignition or melting of other clothing and apparel, street and highway, while engaged in other specified activities"
X0649,"Exposure to ignition or melting of other clothing and apparel, street and highway, during unspecified activity"
X065,"Exposure to ignition or melting of other clothing and apparel, trade and service area"
X0650,"Exposure to ignition or melting of other clothing and apparel, trade and service area, while engaged in sports activity"
X0651,"Exposure to ignition or melting of other clothing and apparel, trade and service area, while engaged in leisure activity"
X0652,"Exposure to ignition or melting of other clothing and apparel, trade and service area, while working for income"
X0653,"Exposure to ignition or melting of other clothing and apparel, trade and service area, while engaged in other types of work"
X0654,"Exposure to ignition or melting of other clothing and apparel, trade and service area, while resting, sleeping, eating or engaging in other vital activities"
X0658,"Exposure to ignition or melting of other clothing and apparel, trade and service area, while engaged in other specified activities"
X0659,"Exposure to ignition or melting of other clothing and apparel, trade and service area, during unspecified activity"
X066,"Exposure to ignition or melting of other clothing and apparel, industrial and construction area"
X0660,"Exposure to ignition or melting of other clothing and apparel, industrial and construction area, while engaged in sports activity"
X0661,"Exposure to ignition or melting of other clothing and apparel, industrial and construction area, while engaged in leisure activity"
X0662,"Exposure to ignition or melting of other clothing and apparel, industrial and construction area, while working for income"
X0663,"Exposure to ignition or melting of other clothing and apparel, industrial and construction area, while engaged in other types of work"
X0664,"Exposure to ignition or melting of other clothing and apparel, industrial and construction area, while resting, sleeping, eating or engaging in other vital activities"
X0668,"Exposure to ignition or melting of other clothing and apparel, industrial and construction area, while engaged in other specified activities"
X0669,"Exposure to ignition or melting of other clothing and apparel, industrial and construction area, during unspecified activity"
X067,"Exposure to ignition or melting of other clothing and apparel, farm"
X0670,"Exposure to ignition or melting of other clothing and apparel, farm, while engaged in sports activity"
X0671,"Exposure to ignition or melting of other clothing and apparel, farm, while engaged in leisure activity"
X0672,"Exposure to ignition or melting of other clothing and apparel, farm, while working for income"
X0673,"Exposure to ignition or melting of other clothing and apparel, farm, while engaged in other types of work"
X0674,"Exposure to ignition or melting of other clothing and apparel, farm, while resting, sleeping, eating or engaging in other vital activities"
X0678,"Exposure to ignition or melting of other clothing and apparel, farm, while engaged in other specified activities"
X0679,"Exposure to ignition or melting of other clothing and apparel, farm, during unspecified activity"
X068,"Exposure to ignition or melting of other clothing and apparel, other specified places"
X0680,"Exposure to ignition or melting of other clothing and apparel, other specified places, while engaged in sports activity"
X0681,"Exposure to ignition or melting of other clothing and apparel, other specified places, while engaged in leisure activity"
X0682,"Exposure to ignition or melting of other clothing and apparel, other specified places, while working for income"
X0683,"Exposure to ignition or melting of other clothing and apparel, other specified places, while engaged in other types of work"
X0684,"Exposure to ignition or melting of other clothing and apparel, other specified places, while resting, sleeping, eating or engaging in other vital activities"
X0688,"Exposure to ignition or melting of other clothing and apparel, other specified places, while engaged in other specified activities"
X0689,"Exposure to ignition or melting of other clothing and apparel, other specified places, during unspecified activity"
X069,"Exposure to ignition or melting of other clothing and apparel, unspecified place"
X0690,"Exposure to ignition or melting of other clothing and apparel, unspecified place, while engaged in sports activity"
X0691,"Exposure to ignition or melting of other clothing and apparel, unspecified place, while engaged in leisure activity"
